lyrics,mood,embedding
met taste met feel need know keep inside need speak must let carry wish met nothing interfere rise submission still beneath soil discard clothes met loose hair intertwined forever always may word depart,3,"[-0.00170156 -0.00992377  0.01324775 ... -0.00727422 -0.00107358
 -0.03107888]"
would tear hundred time bottle broken well run dry painful word make much harder place left chain bound place tonight last night see face left alone wandered place night way make right surely fell chain bound place,0,"[-0.0101298   0.00088865  0.00498384 ...  0.00041018 -0.00694353
 -0.01180753]"
go sire warns air raid come sound gun sending flank scramble got get airborne get coming attack jump cockpit start engine remove wheelblocks time waste gathering speed head runaway get airborne late running crumbling flying rolling turning diving going running crumbling flying,0,"[-0.03331256 -0.01025537 -0.00338483 ...  0.0027917   0.00519726
 -0.00368748]"
prettiest thing ever see lightning top cloud moving dark million mile hour somewhere seem like picture hanging someone el wall lately,2,"[-2.87037753e-02  8.30792356e-03  1.37993740e-02 ... -5.94310513e-05
  2.87206215e-03 -3.40402536e-02]"
wind stand still around suddenly trembling know something deep echo mind justifying feeling running round brain love around written name love around written name,2,"[-0.02335483 -0.01342601  0.00116322 ... -0.00772465  0.00410351
 -0.04829077]"
standing line club never get like bottom ninth never going win life turned quite way want well want want brand new house episode rib bathroom play baseball kingsize tub big enough ten plus oh need need credit card got limit big black jet bedroom going join mile high club foot done want new tour bus full old guitar star hollywood boulevard somewhere james mean fine going going trade life fortune fame would even cut hair changed name want big rockstars live hilltop house driving car girl come easy drug come cheap stay skinny eat hang coolest bar,0,"[-0.00085346 -0.00260946  0.01459352 ... -0.01542743  0.00388466
 -0.03766517]"
myth legend lymph tale washed ashore dear taken sleeper stir coral bone infinite city sex sneer hideous creation human animal banter song rudeness adhered rock glisten harp listen comb hair tear right piece,0,"[ 0.00287065 -0.00071057  0.01505939 ... -0.02486716 -0.00540066
 -0.02202845]"
butterfly gravity pull anticipate first touch sweet new met u figure make forever oh making crazy,2,"[-0.02767801 -0.00109931  0.00630037 ...  0.01588636 -0.00667326
 -0.03242   ]"
made love night long got write song watched sleep fell love must sent heaven think could never wrong parted oh girl parted first thought kind cut,1,"[-0.00347269 -0.00016048  0.00879976 ...  0.01265223  0.02119881
 -0.02290949]"
mary bright red star caught train work morning got would call wake alright alright mary bright red star like look pink sky day turn dark,3,"[-0.01422912 -0.0111293   0.00030789 ...  0.00607673 -0.02243612
 -0.01122489]"
young heart worn world fall apart strong belong worn world fall apart see child rain like parade pain see love see hate see world make see life see sky would give see fly yes wave flag hatred one made watch beauty life passing right eye hear hate word word make u hurt get sick sick never wanted education kiss reason live march drum damned come watch burn sun numb young heart worn world fall apart,0,"[-0.00393567  0.00016569  0.00406263 ... -0.0058133   0.00196616
 -0.03092406]"
ought guitar shop called war way back home strange thing happened car started play creature jumped,2,"[-0.00627505  0.00150004  0.01009982 ... -0.00350914  0.00976723
 -0.03510501]"
cross line shifting light watch breath stream life table tree stretch sea edge shadow meet,2,"[-0.00881743 -0.01868052 -0.01032233 ... -0.00177161 -0.00678617
 -0.0281197 ]"
well blew chicken man chilly last night blew house boardwalk getting ready fight going see jacket boy trouble using state get relief going rumble promenade gambling commission hanging skin teeth well everything dy baby fact maybe everything dy someday come back make fix hair pretty meet tonight atlantic city well got job tried put money away got debt honest man pay,3,"[-0.01844674 -0.00129627  0.01433503 ... -0.01121629  0.01736986
 -0.02006904]"
hate way cry say miss love way hold sleep hate way bleed time kiss say key sleeping beauty go back sleep penny pocket hope eye said girl got million different face put disguise well take want got nothing pas pill go bed however much toss turn feel dark place ahead night sit back remember remember got lost mess said men bad like dad hold even though slightly mad man ever break penny pocket hope eye said girl got million different face put disguise well take want got nothing,3,"[-0.00598615  0.009265    0.0217654  ... -0.00256024  0.00933185
 -0.01434537]"
second summer watch second summer wherever pretended never end knew would say goodby cry airport finally closed plane door could barely hold inside worn two know tell stop thinking wherever wherever overnight almost call must say always,2,"[-0.01493395 -0.01016866  0.00873636 ...  0.00201608  0.01147878
 -0.01174352]"
attend funeral sad think sooner later love may thought tragic mention added give think weeping worry ash sackcloth armband made black cloth day never adorn sleeve bomb drop get friend neighbor nobody left behind grieve go together go comforting fact know universal bereavement inspiring achievement yes go together go,1,"[-0.01767801 -0.00804541  0.02316476 ... -0.01457204  0.0096326
 -0.02164599]"
got room shop time hard rent people think haunted taunted yeah say wrong see year ago something happened something nice barber wife beautiful proper artist knife transported life beautiful parker name benjamin parker crime foolishness wife see pretty little thing silly little chance moon string,3,"[ 0.0011002  -0.0149132   0.02372174 ...  0.00691303 -0.00398266
 -0.02039066]"
iron fist quietly sits inside velvet love take control unteachable like god escape wrapped red tape become object defect country thee white house calling well call back must tell anything yeah get back world need hero would ever lie choice word say heard today mine voice,0,"[-0.01951397 -0.02590791 -0.03100092 ... -0.00786095  0.01988764
 -0.03891723]"
old so brand new broken fortune turn turn old so brand new broken fortune underneath surely knew life pity life pity life pity life pity life life pity life life pity life life pity life pity,3,"[ 0.0127938  -0.01975716  0.00632782 ...  0.00396525  0.00683211
 -0.03738664]"
wound edge terrified sleep disturbed restless mind petrified bout fear permeate see frightening nervousness heaven paralyzed afraid die caught guard warning sign never show tension strike,0,"[ 0.00054858 -0.0037975   0.0107636  ...  0.00749878  0.01290808
 -0.02980267]"
remember west wind move upon field barley forget sun jealous sky walk field gold took love gaze awhile upon field barley arm fell hair came among field gold stay love among field barley,2,"[-0.00034396 -0.0228888   0.01089205 ... -0.01359991 -0.00969305
 -0.01237396]"
summer night baby whoa yeah lady time pop top fellow know ready rock went crazy cooped winter long school let u get lipflop white sand know perfect spot well sunset better set soon get mood thing start getting heated start getting cool yeah summer night everybody met glow cooper mark piece paradise summer night everybodys feeling sex toller ready summer night oh yeah yeah,1,"[-0.00607171 -0.0142242   0.00675415 ... -0.02027249  0.01372909
 -0.02245362]"
mishas attic miscellaneous ex everyone tongue ex everyone tongue everybody want tied someone expectation higher bite see sometimes ex everyone tongue everybody want get quick hit quick fix going take wonder sometimes play game kissing perfect stranger shame catch name o never fall love word get,2,"[-0.01717338  0.00516037  0.02642166 ... -0.03164471  0.02268892
 -0.03231325]"
moving much fast good time last always go take angel snow freeze feel like stuck time forever waiting line nothing ever move needle groove sing dream keeping awake,2,"[-0.01945255 -0.0123899   0.00462099 ...  0.00762766  0.00303526
 -0.02086508]"
see butterfly feeling high hand start reach high oh oh feeling high hand start reach high oh oh sorry,2,"[-0.01234173 -0.00992337 -0.00151401 ...  0.00411053  0.01632053
 -0.04590825]"
carrion name choose mouth curse tragic serene juda stride gothic hall shame statue coldly hold worse murder reclaim dark forsaken time kissing heaven spent wiped lip free hectic discharge wishing repent brute ravaged free slight hand beauty week conquest deep methodical screwing hurt repeatedly like world wound foot large inferno written damn let wrong,0,"[-0.00758898  0.00158075  0.01711379 ... -0.01363492  0.01437839
 -0.01802559]"
see skull build tower build crash fury red crack heart head see skull build tower build crash fury red crack heart head see skull build tower build crash fury red crack heart head smile stick kiss could stop smile stick kiss could stop smile stick kiss smile stick kiss,2,"[-0.01374261 -0.00349137  0.00694221 ...  0.00081713 -0.01693684
 -0.03571053]"
welcome time stand still one leaf one soon full never seems change must labelled mentally deranged dream thing every night see freedom sight locked door window barred thing make brain seem scarred sleep friend see dream reality keep locked cage see brain say rage sanitarium leave,3,"[ 0.00741376 -0.00057085  0.01900717 ...  0.00561856 -0.00750283
 -0.03702767]"
little bird little bird little bird hear clink morning cheer range juice concentrate crossword puzzled start grate one across letter word sitting little bird little bird little bird see picture perfect scene twotone law manured garden wearing haute couture hiding something trying hard riding something trying hard little bird little bird little bird may time lounge,2,"[-0.00215144 -0.00528346  0.00789262 ... -0.00326573 -0.01780126
 -0.02576931]"
know feel lonesome one left really care ever try smile people ever seem stare,3,"[ 0.00803929  0.00033057  0.02244301 ...  0.01483248  0.01495307
 -0.03127282]"
know know door close pipe froze let go,2,"[-0.00483996 -0.01687492 -0.00516987 ... -0.00500141  0.01601854
 -0.01291591]"
daddy old man caught halfway first beer laughed hard face turned green said come long line sinner like brother go see sometimes much say anymore sit gladstone fifth back long line sinner like adedaydeday adedayday dede come long line sinner like,2,"[ 0.01379819 -0.01118117 -0.00534481 ... -0.02342853  0.0037836
 -0.00367629]"
rented truck semi go travel long winding road took map think close door let u roll top corner look starting write well need ticket screamed gutta sight drove fast eye see took mirror still following met roll highway met roll highway toll roll,1,"[-0.0051164  -0.00939483  0.0179585  ... -0.00991941  0.01512438
 -0.00781426]"
got shot got oh sweet got make hot like boomerang need repeat give loving huge kiss give loving let,1,"[-0.04016938 -0.00225918 -0.00560374 ... -0.01510513 -0.00121108
  0.00068356]"
dark light man fight prayer indentation running away trivial day judgment deliverance sold bounty soul gentile priest victory seljuk holy land taken fight heathen fight heathen fight heathen fight heathen rich land power bright darkness,0,"[-0.00054702 -0.02193904 -0.01467165 ... -0.0148222   0.02463523
 -0.01035364]"
ali ai may call night day heart hear call away come away ali ai whisper wind sea special island come,2,"[-0.00109624 -0.01418146 -0.01172724 ... -0.00918464  0.00961293
 -0.02484135]"
phone girlfriend upset going something said get humor like room typical tuesday night listening kind music like never know story like wear short skirt wear tshirts sheer captain teacher dreaming day wake find looking whole time could see one understands along see belong belong talk street wornout jean help thinking ought laughing park bench thinking,1,"[-0.00419831 -0.00295494  0.04173614 ...  0.01937259  0.00206143
 -0.02900401]"
arrested sleep see outside day week shot trying escape know lie written face well alright live old faint got lazy forgot get away young best thing going struggled lightly keep hand watching strut street,1,"[ 0.00175253  0.02156857  0.01688583 ... -0.00295642 -0.00108419
 -0.02440617]"
promise better thing going love like son use meet night swear swear going love like son like blood swear going love like son like blood swear love right,3,"[ 0.00742405 -0.0113045  -0.01313694 ... -0.02666462  0.02130205
 -0.01860729]"
time born talk sex sin confess evil man everything go mass go well swell ruling life lie survive sucked vacuum culture way way late addicted control snatch bottle shelf wrapped spiritual law spiritual law middle rosary holy water make bleed attach cross head may burn dead burn rosary go burn death u time congregated endless sheep late slammed mould thrown wall,0,"[ 0.00854198  0.00029998  0.00802028 ...  0.00692471  0.00603782
 -0.02854747]"
want love want bug want squeeze stupid girl want touch want take want shut stupid girl take worn break going away going away wrong life today going away going away wrong life today stupid girl stupid girl,0,"[-0.02329229  0.0201705   0.0043261  ... -0.00265251  0.00703747
 -0.01667195]"
old wave high sleepless every night lie shading eye everyone key darling look fine blue time terrified line memory time tired telephone far away shone life taken time,2,"[ 0.00311894 -0.00587174  0.0075397  ...  0.00333591 -0.00167474
 -0.03056562]"
start spreading news leaving today want part new work new work vagabond shoe longing stray right heart new work new work want wake city sleep find king hill top heap,1,"[-0.00099699  0.01829103 -0.00024308 ... -0.00546406  0.0156136
 -0.02405453]"
young heart like pleasure company cut inside groove silver spoon like tape anatomy rainbow cruise way room turning heat got magic touch turning heat little much turning heat hundred yeah girl love love many men please count rosary know might get burned careful touch get,1,"[-0.01174602 -0.01700522  0.024901   ... -0.02278058 -0.00865606
 -0.02113446]"
sunrise showing every flaw saying night dark eye scanning every vein exploding stand strain new milethey death defy standing trialscrutinize questioning strong denial bullet bullet bullet train piercing brain window illumination stain breakdown closing freefall close eye,0,"[-0.00283257 -0.00687659  0.00054833 ... -0.0207675  -0.00191428
 -0.01131617]"
soul ready life going fight soul try swept body coming street complete wished destroy mess despite next outside soul react raging crowd tonight kill demonstrate fight inside wandering wandering,3,"[-0.00111394 -0.00193647 -0.00878049 ... -0.04497157  0.0050524
 -0.01180849]"
used laugh used look way used save trouble another day kept finger crossed used never take blame would pull sunshine story pouring rain change would stay stayed know got till missing lot go throw away wrong start bottom heart apologize harmful going harmful,3,"[-0.00138083  0.00356067  0.01036274 ... -0.00115839  0.01046044
 -0.02925294]"
educated money well dressed funny much say conversation foot bill situation pay everything girl like boy girl like car money boy laugh girl funny paper plastic matter action shopping spree favorite thing,1,"[-0.02608987  0.00370093  0.01582233 ... -0.01234549  0.00790438
 -0.04006514]"
become resistant weakness pain become one want live feel alive changed changed changed,3,"[ 0.00095709 -0.0107006   0.01296677 ...  0.00391551 -0.0056319
 -0.01512566]"
hold picture hand though understand drifting space eye covered cloud containing doubt held lie grace one one one one one one,3,"[-0.00256691 -0.00327306  0.00135875 ...  0.0075702   0.0070682
 -0.03635839]"
brick mortar reflecting social change track pavement reveal craving success try hide past pulling house build car part window mirror like twoway glass progress nothing stand path,0,"[-0.01522835  0.0153849   0.00622654 ... -0.01299391 -0.0185302
 -0.02338334]"
edge paradise year woe fall cold ice dear cry renounce thy name eternal pain eternal pain lead throne temptation pain head throne temptation head throne temptation eternal eternal pain lead throne lead temptation time choir sang endless melody light music sphere place mortal embraced thunder majesty fate lay hand feel wing slowly fading forever lost time cry burning conflict feeling summons descend side beyond star blazing,3,"[-0.00056206 -0.02725284 -0.02004208 ... -0.0042634   0.01113144
 -0.03896004]"
like baby smell like butter smell smelled like born scentless senseless born scentless apprentice way away away wet nurse refused feed electrolyte smell like semen,0,"[ 0.00716747 -0.00701786 -0.02861547 ...  0.00755508  0.00042225
 -0.00963596]"
darkness fall like black leather jacket melt sidewalk like sleeping drunk street wind throw yesterday headline around another night come go awhile back someplace go somewhere home house family choice accident sometimes soon something get started day much shorter people good part town come around something missing even though shrug attempt explain torn tshirt made danger like flashback move like story proceed like talking old day except tell future lead take walk haunted hall stumble shattered recall know nothing relive,3,"[ 0.01243099 -0.00243608  0.0055711  ... -0.00126236 -0.00450393
 -0.01528814]"
met u go girl cmon going tonight feeling alright going let hang want make noise really raise voice yeah want scream shout inhibition make condition met little gutta line going act politically correct want good time best thing woman prerogative little fun oh oh oh go totally crazy forget lady men shirt short skirt oh oh oh really go wild yeah style oh oh oh get action feel attraction,1,"[-0.02954389 -0.00933001  0.00954221 ... -0.01467611  0.01297166
 -0.02550522]"
nobody road nobody beach feel air summer reach empty lake empty street sun go alone driving house though know home see brown skin shining sun got hair combed back sunglass baby tell love still strong boy summer gone never forget night,1,"[ 0.01583421  0.00418065  0.01723211 ... -0.01832953  0.00422638
 -0.03347132]"
met realize time see friend sitting outside help pack bag tell listen begin know coming straight back home know constant fool putting thing youhaul blocking number call conversation keep word done already heard long think would sit letting know exceptional conversation save game anything say remain long think would sit destroying soul exceptional believe even tried blame one changed side like way like paper clamp lose,2,"[-0.0071799   0.00312471  0.02588651 ... -0.00178803 -0.01080456
 -0.05591153]"
got dirty mind know going find way school saw saw second knew wanted oh wanted trace filth grime dirt overwhelming urge smile laugh flirt go twinkle eye take genius understand reason go twinkle eye take genius understand reason got dirty mind know going find,1,"[ 0.00177678  0.00746348  0.00425261 ... -0.01710639  0.00642175
 -0.03846196]"
say world must end somehow say end far think wrong worry life away start living today think tomorrow light go u year two sky fall like pouring rain,2,"[ 0.00155456 -0.0097352   0.00622826 ... -0.00901309 -0.01193498
 -0.03920826]"
old man rounder soul would hear old freight train would go said would blessed gypsy bone reason guess would cursed roam town back war even know looking carried tattered bag violin full lot song place talked real easy smiled waved could pas along fiddle played akin people drop care woe hum loud tune fiddle bowed,3,"[-0.00168919 -0.00328333  0.02418559 ... -0.00503255  0.00452563
 -0.01216617]"
deutschland got die sin drew view take wake get knee west strike next war still last west money talk money know bored sick let u burn germany building economy dead body want react strongly tranquilizer know need diversion silent escape harder faster know suffered,0,"[-0.00761348 -0.00939756  0.00117642 ...  0.00616477  0.01579399
 -0.0032276 ]"
believe news today oh close eye make go away long long must sing song long long tonight one tonight broken bottle childrens foot body strewn across deadend street heed battle call put back put back wall sunday bloody sunday sunday bloody sunday sunday bloody sunday sunday bloody sunday,0,"[-1.82989854e-02 -4.91962855e-05 -8.49889219e-03 ... -3.29580321e-03
  3.49543467e-02 -1.41762346e-02]"
designate across rubicon awaiting salvation void standing threshold another paindriving reign,3,"[-0.01250856 -0.03231616 -0.00356902 ... -0.00402163  0.00656198
  0.00777849]"
thunder lightning god take revenge senseless destruction victim fury cowardly running safety stabbing hart pay sin leaving virgin suicide running free lipping tearing oh mist madness trying get message metal militia metal militia metal militia chained showed left behind line one thousand,0,"[-0.03728186 -0.01803784 -0.02626178 ... -0.02160155  0.00727819
 -0.02172491]"
thing called love handle thing called love must get round ready crazy little thing called love thing thing called love called love cry like baby cradle night swing whotoo give whowho shake like jelly fish kind like crazy little thing called love go baby know rock roll drive crazy,1,"[-0.00746417 -0.0081722   0.02322626 ... -0.01427985  0.00288509
 -0.02294834]"
seem face fact tense nervous relax sleep bed fire touch real live wire psycho killer questce que cest far better run run run run run run run away psycho killer questce que cest far better run run run run run run run away start conversation even finish,0,"[-0.01228217  0.0127293   0.03163462 ... -0.00164705 -0.01095475
 -0.0291754 ]"
right night thinking dreamed choked kaleidoscope still look deadly fatal flower tiger laughed ran along well worn path sapphire eye look lilac lilac lilac insincere rolled year turning barrel washed hand lake blew away roman candle take fever let allow alone callus eye grown,2,"[ 0.00075659  0.00620913  0.00491186 ...  0.01387547  0.01124539
 -0.01882288]"
like move move like move move like move move like move like move move like move move like move move like move like move move like move move like move move like move like move move like move move like move move like move girl world original stuntman pon case man love girl move body move body oh move nice sweet sex alright woman cut need make original cut body man mud woman cut need make original cut body man mud woman physically fit physically fit physically physically physically woman physically fit physically fit physically physically physically,1,"[-1.99420564e-02 -1.58744045e-02  6.51047012e-05 ... -4.35489602e-03
 -3.96199804e-03 -2.49869991e-02]"
remember thing wanted memory haunted always meant say goodby even fist held high yeah never would worked right yeah never meant die want u burn come hurt stop want know matter take road someone got go want know could loved better want move already gone looking make harder know find another always make want cry started perfect kiss could feel poison set,3,"[-0.00074674  0.00416191  0.02762054 ... -0.00587642  0.01108049
 -0.01667452]"
thrill something send chill right look thrill thrill pulse increase go piece look thrill,2,"[-0.02319668 -0.00940406  0.00803434 ... -0.01233431 -0.00191318
 -0.0228287 ]"
oh yeah got perfect song kiss sing people drug dealing get tack money til get sky high sposed make past joke still alive throw hand sky say care people say yeah yeah yeah first time hearing experience something cold man never nothing handed took nothing granted took nothing man man man short looked done man adult man knew broke man licking started coat man man know man care people say night outside winter summer fixing say next summer fixing within hood like community college done money oil are scholarship suction ambition loan sitting as home forced sell crack ran get job got something man as grown drug dealing get tack money til get sky high lid sing kiss sing,1,"[ 0.01292141 -0.0172466   0.01700293 ... -0.0169217   0.00446733
 -0.02604588]"
dry drinking night pas need ghost tell bloodless voice meaningless sound hard fought spare time sit around search something never going find color fade night sky lightning bag flashing front porch,2,"[-0.00874023 -0.00262344 -0.0065175  ... -0.02063133  0.0141652
 -0.01271306]"
driving must god raining raining hard window steaming bridge engulfed fog rest metal bridge reckons pull argue scream god offering hand fly sneering wheel recall getting could would reach behind turn light thought run beaten track light way back take hand god bite fear lingering,3,"[ 0.00578385 -0.00773944 -0.00256023 ... -0.02714331  0.00789146
 -0.01892016]"
black sheep boy revolves canyon waterfall black sheep boy dissolved syringe shower stall say plenty time make mine tonight plenty time make mine say plenty way know dying right well plenty light still left eye black sheep boy grows horn breathing smoke microphone airwave stretch groan bleeding biting black diapason say plenty thing wear come color sleeve rolled million rolling eye still cling,3,"[-0.00098634 -0.0033675   0.00899835 ... -0.00587507  0.00716841
 -0.01016098]"
ha well call act making several important difference human being animal know would appreciate input sweat baby sweat baby sex texas drought kind stuff prince would sing put hand part bet feel nut yes fiske yes best getting two thumb enough twohand touch want rough bound want smothered want covered like baffled house hashbrowns woman quicker fedex never reach apex must like localold stock inclined make rise hour early like daylight saving time,1,"[-0.00331426  0.00597045  0.00874245 ... -0.00532708 -0.0030514
 -0.01570552]"
fig jury underneath everything rearranging fig jury underneath everything slowly changing would love beat face mother pucker thinking change white knuckle grip pushing gold wanting piece broke mother fucking mold drowning wake hit rubbed face seething concrete gum bleeding fig jury underneath everything rearranging fig jury underneath,0,"[-0.00415216 -0.00254487  0.01014515 ... -0.00076887 -0.01156012
 -0.03601976]"
day shortcoming pick pocket fault letter carved stone meaningful word written water left walk world alone broken mold made black sheep family north le zero opinion room temperature something nothing always wrong poisoned fear watch twist meanly brain mad,0,"[-0.00889598  0.00866787  0.02665941 ...  0.00987254  0.00024904
 -0.03843518]"
oh love darling hundred touch long lonely time time go slowly time much still mine need love need love,1,"[-0.00371789 -0.00235943 -0.00801442 ... -0.0051412   0.00303783
 -0.00946433]"
